Id;GroupCode;AccountingCode;Major;Grouping
542;"7066 ";"3015 ";B;"2.3.2    "
543;"7066 ";"3062 ";B;"2.3.2    "
544;"7066 ";"3072 ";B;"2.3.2    "
545;"7066 ";"3059 ";B;"2.3.2    "
546;"7066 ";"3052 ";B;"2.3.2    "
547;"7066 ";"3080 ";B;"2.3.2    "
548;"7066 ";"3064 ";B;"2.3.2    "
549;"7066 ";"3069 ";B;"2.3.2    "
550;"7066 ";"3071 ";B;"2.3.2    "
551;"7066 ";"3054 ";B;"2.3.2    "
552;"7066 ";"3043 ";B;"2.3.2    "
553;"7066 ";"3063 ";B;"2.3.2    "
554;"7064 ";"3015 ";B;"2.3.2    "
555;"7064 ";"3135 ";B;"2.3.2    "
556;"7063 ";"3003 ";B;"2.3.2    "
557;"7063 ";"3130 ";B;"2.3.2    "
558;"7063 ";"3127 ";B;"2.3.2    "
559;"7063 ";"3018 ";B;"2.3.2    "
560;"7063 ";"3131 ";B;"2.3.2    "
561;"7063 ";"3129 ";B;"2.3.2    "
562;"7063 ";"3144 ";B;"2.3.2    "
563;"7063 ";"3132 ";B;"2.3.2    "
564;"7063 ";"3019 ";B;"2.3.2    "
565;"7063 ";"3141 ";B;"2.3.2    "
566;"7063 ";"3055 ";B;"2.3.2    "
567;"7063 ";"3050 ";B;"2.3.2    "
568;"7063 ";"3014 ";B;"2.3.2    "
569;"7063 ";"3056 ";B;"2.3.2    "
570;"7064 ";"3109 ";B;"2.3.2    "
571;"7063 ";"3064 ";B;"2.3.2    "
572;"7064 ";"3205 ";B;"2.3.2    "
573;"7033 ";"3064 ";B;"2.3.2    "
574;"7030 ";"3022 ";B;"2.3.2    "
575;"7030 ";"3023 ";B;"2.3.2    "
576;"7030 ";"3146 ";B;"2.3.2    "
577;"7030 ";"3133 ";B;"2.3.2    "
578;"7030 ";"3136 ";B;"2.3.2    "
579;"7030 ";"3137 ";B;"2.3.2    "
580;"7030 ";"3138 ";B;"2.3.2    "
581;"7030 ";"3152 ";B;"2.3.2    "
582;"7030 ";"3134 ";B;"2.3.2    "
583;"7030 ";"3135 ";B;"2.3.2    "
584;"7030 ";"3014 ";B;"2.3.2    "
585;"7030 ";"3015 ";B;"2.3.2    "
586;"7030 ";"3036 ";B;"2.3.2    "
587;"7030 ";"3038 ";B;"2.3.2    "
588;"7030 ";"3041 ";B;"2.3.2    "
589;"7030 ";"3043 ";B;"2.3.2    "
590;"7030 ";"3047 ";B;"2.3.2    "
591;"7030 ";"3048 ";B;"2.3.2    "
592;"7030 ";"3050 ";B;"2.3.2    "
593;"7030 ";"3052 ";B;"2.3.2    "
594;"7030 ";"3054 ";B;"2.3.2    "
595;"7030 ";"3060 ";B;"2.3.2    "
596;"7030 ";"3062 ";B;"2.3.2    "
597;"7030 ";"3063 ";B;"2.3.2    "
598;"7030 ";"3072 ";B;"2.3.2    "
599;"7030 ";"3075 ";B;"2.3.2    "
600;"7030 ";"3080 ";B;"2.3.2    "
601;"7030 ";"3040 ";B;"2.3.2    "
602;"7030 ";"3001 ";B;"2.3.2    "
603;"7030 ";"3004 ";B;"2.3.2    "
604;"7030 ";"3034 ";B;"2.3.2    "
605;"7030 ";"3214 ";B;"2.3.2    "
606;"7030 ";"3109 ";B;"2.3.2    "
607;"7030 ";"5002 ";B;"2.3.2    "
608;"7031 ";"2023 ";B;"2.3.2    "
609;"7031 ";"2000 ";B;"2.3.2    "
610;"7031 ";"3018 ";B;"2.3.2    "
611;"7031 ";"3019 ";B;"2.3.2    "
