id;ts_code;product_code;qty;created_by;created_date;updated_by;updated_date;is_active
216;066561;62922;4.000;Uwen;"2014-09-12 10:33:20.467";Uwen;"2016-09-19 09:10:52.763";N
217;066561;63690;6.000;Uwen;"2014-09-12 10:33:20.467";Uwen;"2016-08-19 14:49:11.177";N
218;066562;65562;2.000;Uwen;"2014-09-12 10:34:20.200";NULL;NULL;Y
219;059566;51458;4.000;Jelita;"2014-09-12 11:04:40.087";NULL;NULL;Y
220;059566;52401;2.000;Jelita;"2014-09-12 11:04:40.087";NULL;NULL;Y
221;006109;51458;4.000;Jelita;"2014-09-12 11:13:03.780";NULL;NULL;Y
222;094408;99843;1.000;"Stainly Langkay";"2014-09-12 15:29:27.683";NULL;NULL;Y
223;066563;62496;1.000;"Stainly Langkay";"2014-09-12 15:43:15.383";NULL;NULL;Y
224;066564;61337;5.000;"Stainly Langkay";"2014-09-12 15:46:00.490";NULL;NULL;Y
225;059568;51458;1.000;"Stainly Langkay";"2014-09-12 16:40:06.777";NULL;NULL;Y
226;066565;60064;3.000;Uwen;"2014-09-13 09:05:14.117";NULL;NULL;Y
227;094409;90535;2.000;Uwen;"2014-09-13 09:07:51.413";NULL;NULL;Y
228;059569;50620;1.000;Uwen;"2014-09-13 09:09:09.683";NULL;NULL;Y
229;059570;51458;3.000;"Stainly Langkay";"2014-09-13 09:48:50.133";NULL;NULL;Y
230;059570;52401;3.000;"Stainly Langkay";"2014-09-13 09:48:50.133";NULL;NULL;Y
231;066566;63286;1.000;"Stainly Langkay";"2014-09-13 10:39:36.113";NULL;NULL;Y
232;059571;51458;4.000;"Stainly Langkay";"2014-09-13 10:44:44.910";NULL;NULL;Y
233;059571;52401;2.000;"Stainly Langkay";"2014-09-13 10:44:44.910";NULL;NULL;Y
234;059572;51458;4.000;"Stainly Langkay";"2014-09-13 11:16:58.097";NULL;NULL;Y
235;059572;51457;20.000;"Stainly Langkay";"2014-09-13 11:16:58.097";NULL;NULL;Y
236;059573;51458;4.000;"Stainly Langkay";"2014-09-13 11:18:59.443";NULL;NULL;Y
237;059573;51457;6.000;"Stainly Langkay";"2014-09-13 11:18:59.443";NULL;NULL;Y
238;066567;60099;1.000;"Stainly Langkay";"2014-09-13 11:21:46.497";NULL;NULL;Y
239;066567;60139;1.000;"Stainly Langkay";"2014-09-13 11:21:46.497";NULL;NULL;Y
240;066567;60456;1.000;"Stainly Langkay";"2014-09-13 11:21:46.497";NULL;NULL;Y
241;059574;51458;1.000;"Stainly Langkay";"2014-09-13 11:23:16.187";NULL;NULL;Y
242;066568;63044;10.000;"Stainly Langkay";"2014-09-13 11:30:17.037";NULL;NULL;Y
243;066568;60064;2.000;"Stainly Langkay";"2014-09-13 11:30:17.037";NULL;NULL;Y
244;066568;63061;6.000;"Stainly Langkay";"2014-09-13 11:30:17.037";NULL;NULL;Y
245;059575;51458;3.000;"Stainly Langkay";"2014-09-13 11:36:56.450";NULL;NULL;Y
246;059575;52401;2.000;"Stainly Langkay";"2014-09-13 11:36:56.450";NULL;NULL;Y
247;059575;51457;20.000;"Stainly Langkay";"2014-09-13 11:36:56.450";NULL;NULL;Y
248;059576;51458;1.000;"Stainly Langkay";"2014-09-13 11:53:40.687";NULL;NULL;Y
249;059576;52401;1.000;"Stainly Langkay";"2014-09-13 11:53:40.687";NULL;NULL;Y
250;059576;51457;5.000;"Stainly Langkay";"2014-09-13 11:53:40.687";NULL;NULL;Y
251;059577;52401;1.000;"Stainly Langkay";"2014-09-13 11:59:34.173";NULL;NULL;Y
252;059577;51457;5.000;"Stainly Langkay";"2014-09-13 11:59:34.173";NULL;NULL;Y
253;066569;64913;2.000;"Stainly Langkay";"2014-09-13 13:46:18.090";Uwen;"2016-08-26 10:37:33.607";Y
254;066569;62822;1.000;"Stainly Langkay";"2014-09-13 13:46:18.090";NULL;NULL;Y
255;066569;60545;1.000;"Stainly Langkay";"2014-09-13 13:46:18.090";NULL;NULL;Y
256;059578;51457;5.000;"Stainly Langkay";"2014-09-13 14:49:25.133";NULL;NULL;Y
257;059579;50620;1.000;"Stainly Langkay";"2014-09-13 14:50:36.450";NULL;NULL;Y
258;034901;91008;30.000;Jelita;"2014-09-13 15:55:44.987";NULL;NULL;Y
259;059508;51458;4.000;Jelita;"2014-09-13 16:13:30.727";NULL;NULL;Y
260;059507;50565;100.000;Jelita;"2014-09-13 16:14:03.470";NULL;NULL;Y
261;059507;50688;60.000;Jelita;"2014-09-13 16:14:03.470";NULL;NULL;Y
262;059467;51585;1.000;Jelita;"2014-09-13 16:20:39.200";NULL;NULL;Y
263;059467;51488;5.000;Jelita;"2014-09-13 16:20:39.200";NULL;NULL;Y
264;059468;52401;2.000;Jelita;"2014-09-13 16:21:08.330";NULL;NULL;Y
265;059469;51458;3.000;Jelita;"2014-09-13 16:21:30.957";NULL;NULL;Y
266;059469;52401;3.000;Jelita;"2014-09-13 16:21:30.957";NULL;NULL;Y
267;059470;51458;5.000;Jelita;"2014-09-13 16:22:16.077";NULL;NULL;Y
268;059470;52401;4.000;Jelita;"2014-09-13 16:22:16.077";NULL;NULL;Y
269;059470;52014;10.000;Jelita;"2014-09-13 16:22:16.077";NULL;NULL;Y
270;059470;51457;10.000;Jelita;"2014-09-13 16:22:16.077";NULL;NULL;Y
271;059471;51458;5.000;Jelita;"2014-09-13 16:22:39.233";NULL;NULL;Y
272;059471;52401;2.000;Jelita;"2014-09-13 16:22:39.233";NULL;NULL;Y
273;059472;51458;1.000;Jelita;"2014-09-13 16:23:20.327";NULL;NULL;Y
274;059472;50943;1.000;Jelita;"2014-09-13 16:23:20.327";NULL;NULL;Y
275;059473;51458;1.000;Jelita;"2014-09-13 16:23:55.697";NULL;NULL;Y
276;059473;51457;5.000;Jelita;"2014-09-13 16:23:55.697";NULL;NULL;Y
277;059474;51458;1.000;Jelita;"2014-09-13 16:24:28.687";NULL;NULL;Y
278;059475;51458;3.000;Jelita;"2014-09-13 16:25:03.610";NULL;NULL;Y
279;059475;52401;2.000;Jelita;"2014-09-13 16:25:03.610";NULL;NULL;Y
280;059475;51457;10.000;Jelita;"2014-09-13 16:25:03.610";NULL;NULL;Y
281;059475;50515;2.000;Jelita;"2014-09-13 16:25:03.610";NULL;NULL;Y
282;059476;51458;3.000;Jelita;"2014-09-13 16:25:26.567";NULL;NULL;Y
283;059476;52401;3.000;Jelita;"2014-09-13 16:25:26.567";NULL;NULL;Y
284;059477;50620;25.000;Jelita;"2014-09-13 16:26:14.513";NULL;NULL;Y
285;059478;90840;4.000;Jelita;"2014-09-13 16:26:53.827";NULL;NULL;Y
286;059478;52306;3.000;Jelita;"2014-09-13 16:26:53.827";NULL;NULL;Y
287;059478;50349;4.000;Jelita;"2014-09-13 16:26:53.827";NULL;NULL;Y
288;059479;50003;1.000;Jelita;"2014-09-13 16:27:14.283";NULL;NULL;Y
289;059480;90840;6.000;Jelita;"2014-09-13 16:27:43.133";NULL;NULL;Y
