id;prsnumber;productcode;user_id;created_by;created_date;updated_by;updated_date;is_active
305;203598;63874;USER0009;NULL;NULL;NULL;NULL;Y
306;203598;63875;USER0009;NULL;NULL;NULL;NULL;Y
307;203599;61177;USER0009;NULL;NULL;NULL;NULL;Y
308;203599;61564;USER0009;NULL;NULL;NULL;NULL;Y
309;203599;63181;USER0009;NULL;NULL;NULL;NULL;Y
310;203599;69921;USER0009;NULL;NULL;NULL;NULL;Y
311;203600;54132;USER0008;NULL;NULL;NULL;NULL;Y
312;203602;01774;USER0008;NULL;NULL;NULL;NULL;Y
313;203603;63877;USER0008;NULL;NULL;NULL;NULL;Y
314;203604;01772;USER0008;NULL;NULL;NULL;NULL;Y
315;203605;62161;USER0008;NULL;NULL;NULL;NULL;Y
316;203605;63876;USER0008;NULL;NULL;NULL;NULL;Y
317;203605;63878;USER0008;NULL;NULL;NULL;NULL;Y
318;203605;63879;USER0008;NULL;NULL;NULL;NULL;Y
319;203605;63880;USER0008;NULL;NULL;NULL;NULL;Y
320;203605;63880;USER0008;NULL;NULL;NULL;NULL;Y
321;203605;63881;USER0008;NULL;NULL;NULL;NULL;Y
322;203605;63882;USER0008;NULL;NULL;NULL;NULL;Y
323;203606;62932;USER0008;NULL;NULL;NULL;NULL;Y
324;203606;63883;USER0008;NULL;NULL;NULL;NULL;Y
325;203606;61255;USER0008;NULL;NULL;NULL;NULL;Y
326;203606;50459;USER0008;NULL;NULL;NULL;NULL;Y
327;203606;50015;USER0008;NULL;NULL;NULL;NULL;Y
328;203606;60545;USER0008;NULL;NULL;NULL;NULL;Y
329;203606;60029;USER0008;NULL;NULL;NULL;NULL;Y
330;203606;60733;USER0008;NULL;NULL;NULL;NULL;Y
331;203607;60213;USER0008;NULL;NULL;NULL;NULL;Y
332;203607;61710;USER0008;NULL;NULL;NULL;NULL;Y
333;203607;61973;USER0008;NULL;NULL;NULL;NULL;Y
334;203607;63884;USER0008;NULL;NULL;NULL;NULL;Y
335;203608;63885;USER0008;NULL;NULL;NULL;NULL;Y
